accession	description
"SRR12520018"	"Illumina HiSeq 2500 sequencing; GSM4747243: Blood_Platelets_Vumc-NSCLC-173 [Vumc-NSCLC-173-TR668]; Homo sapiens; RNA-Seq"
"SRR12519996"	"Illumina HiSeq 2500 sequencing; GSM4747221: Blood_Platelets_MGH-NSCLC-L03 [MGH-NSCLC-L03-TR488]; Homo sapiens; RNA-Seq"
"SRR12519999"	"Illumina HiSeq 2500 sequencing; GSM4747224: Blood_Platelets_MGH-NSCLC-L18 [MGH-NSCLC-L18-TR479]; Homo sapiens; RNA-Seq"
"SRR12520000"	"Illumina HiSeq 2500 sequencing; GSM4747225: Blood_Platelets_MGH-NSCLC-L20 [MGH-NSCLC-L20-TR500]; Homo sapiens; RNA-Seq"
"SRR12520001"	"Illumina HiSeq 2500 sequencing; GSM4747226: Blood_Platelets_MGH-NSCLC-L36 [MGH-NSCLC-L36-TR502]; Homo sapiens; RNA-Seq"
"SRR12520052"	"Illumina HiSeq 2500 sequencing; GSM4747274: Blood_Platelets_NKI-NSCLC-1523-TR1846 [NKI-NSCLC-1523-TR1846]; Homo sapiens; RNA-Seq"
"SRR12520053"	"Illumina HiSeq 2500 sequencing; GSM4747275: Blood_Platelets_NKI-NSCLC-1665-TR1894 [NKI-NSCLC-1665-TR1894]; Homo sapiens; RNA-Seq"
"SRR12520023"	"Illumina HiSeq 2500 sequencing; GSM4747248: Blood_Platelets_MGH-NSCLC-L126-2 [MGH-NSCLC-L126-TR917]; Homo sapiens; RNA-Seq"
"SRR12519980"	"Illumina HiSeq 2500 sequencing; GSM4747205: Blood_Platelets_MGH-NSCLC-L-47 [MGH-NSCLC-L-47]; Homo sapiens; RNA-Seq"
"SRR12520054"	"Illumina HiSeq 2500 sequencing; GSM4747276: Blood_Platelets_NKI-NSCLC-1671-TR1912 [NKI-NSCLC-1671-TR1912]; Homo sapiens; RNA-Seq"
"SRR12520055"	"Illumina HiSeq 2500 sequencing; GSM4747277: Blood_Platelets_NKI-NSCLC-1946-TR1898 [NKI-NSCLC-1946-TR1898]; Homo sapiens; RNA-Seq"
"SRR12520056"	"Illumina HiSeq 2500 sequencing; GSM4747278: Blood_Platelets_NKI-NSCLC-2006-TR1842 [NKI-NSCLC-2006-TR1842]; Homo sapiens; RNA-Seq"
"SRR12520057"	"Illumina HiSeq 2500 sequencing; GSM4747279: Blood_Platelets_NKI-NSCLC-2153-TR1839 [NKI-NSCLC-2153-TR1839]; Homo sapiens; RNA-Seq"
"SRR12520058"	"Illumina HiSeq 2500 sequencing; GSM4747280: Blood_Platelets_NKI-NSCLC-4147-TR2216 [NKI-NSCLC-4147-TR2216]; Homo sapiens; RNA-Seq"
"SRR12520059"	"Illumina HiSeq 2500 sequencing; GSM4747281: Blood_Platelets_NKI-NSCLC-2785-TR2208 [NKI-NSCLC-2785-TR2208]; Homo sapiens; RNA-Seq"
"SRR12519981"	"Illumina HiSeq 2500 sequencing; GSM4747206: Blood_Platelets_MGH-NSCLC-L-72 [MGH-NSCLC-L-72]; Homo sapiens; RNA-Seq"
"SRR6152520"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152518"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152516"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152514"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152512"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152510"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152498"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152496"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152494"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152493"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152492"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152491"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152490"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152489"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152488"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152482"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152480"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR1212715"	"Illumina HiSeq 2000 sequencing; NSCLC smRNA-seq"
"SRR6152521"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152519"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152517"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152515"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152513"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152511"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152509"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152508"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152507"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152506"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152505"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152504"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152503"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152502"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152501"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152500"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152499"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152497"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
"SRR6152495"	"Illumina MiSeq sequencing; mtDNA-seq: NSCLC Human"
