accession	description
"SRR8421221"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL1_0929_20171024"
"SRR8421219"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B2_0929_20171024"
"SRR8421217"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R1_1011_20171024"
"SRR8421216"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R2_1011_20171024"
"SRR8421214"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y1_1011_20171024"
"SRR8421212"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y3_1011_20171024"
"SRR8421210"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G2_1011_20171024"
"SRR8421192"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL3_1202_20171218"
"SRR8421188"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B2_1202_20171218"
"SRR8421185"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL1_1005_20171024"
"SRR8421183"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B2_1005_20171024"
"SRR8421181"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G3_1005_20171024"
"SRR8421179"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G1_1005_20171024"
"SRR8421177"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL3_1005_20171024"
"SRR8421158"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R3_1202_20171218"
"SRR8421157"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y1_1202_20171218"
"SRR8421156"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R1_1202_20171218"
"SRR8421155"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R2_1202_20171218"
"SRR8421154"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G1_1202_20171218"
"SRR8421153"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G2_1202_20171218"
"SRR8421152"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y2_1202_20171218"
"SRR8421151"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y3_1202_20171218"
"SRR8421150"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G3_1202_20171218"
"SRR8421149"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B1_1202_20171218"
"SRR8421137"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G1_1115_20171218"
"SRR8421136"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y3_1115_20171218"
"SRR8421135"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G3_1115_20171218"
"SRR8421134"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G2_1115_20171218"
"SRR8421133"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B2_1115_20171218"
"SRR8421132"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B1_1115_20171218"
"SRR8421131"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL1_1115_20171218"
"SRR8421130"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B3_1115_20171218"
"SRR8421129"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL3_1115_20171218"
"SRR8421128"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Bl2_1115_20171218"
"SRR8421117"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y1_1115_20171218"
"SRR8421116"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y2_1115_20171218"
"SRR8421115"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL3_1030_20171128"
"SRR8421114"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R1_1115_20171218"
"SRR8421113"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R2_1115_20171218"
"SRR8421112"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R3_1115_20171218"
"SRR8421111"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B2_1030_20171128"
"SRR8421110"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B3_1030_20171128"
"SRR8421109"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL1_1030_20171128"
"SRR8421108"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL2_1030_20171128"
"SRR8421096"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R2_1005_20171024"
